unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,I1,non_I2,Relic,Z63,Новичић,Илиндан,Браничево,Кушиљево/Свилајнац,44.2867939,21.2097198
location_terminal,J2,non_I2,Founder,J-Y22063,Поповић,Никољдан,Стари Влах,Кушићан/Ивањица,43.5816675,20.2304548
location_terminal,PH908_primary,PH908_family,Relic,FT190854,Бојановић,Лучиндан,Стари Влах,Кушићи/Ивањица,43.6025295,20.2720022
location_terminal,E,non_I2,Founder,E-FT104106,Вуловић,Никољдан,Североисточна Босна,Кућишта/Попови/Бијељина,44.7633867,19.2733399
location_terminal,I2_unmapped_nonPH908,nonPH908_I2,Relic,PF4459,Капетановић,Нема,Херцеговина,Кључ/Гацко,43.0877191,18.4902065
location_terminal,PH908_primary,PH908_family,Founder,FT14506,Несторовић,Ђурђиц,Колубара,Кључ/Мионица,44.2297199,20.0509975
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Relic,BY92056,Крстић,Аранђеловдан,Тимочка Крајина,Књажевац,43.5675155,22.2556547
location_terminal,E,non_I2,Founder,E-Y7168,Угриновић,Никољдан,Западна Македонија,Лабуништа/Струга,41.2688788,20.5979506
location_terminal,E,non_I2,Founder,E-BY165837,Гашић,Аранђеловдан,Метохија,Лабљане/Пећ,42.572352,21.3530252
location_terminal,E,non_I2,Founder,E-FT178289,Јањушевић,Никољдан,Стара Херцеговина,Лаз/Никшић,46.052257,23.417935
location_terminal,R1a,non_I2,Founder,Z280,Лазовић,Јовањдан,Брда,Лазовићи/Бијело Поље,43.0200788,19.993327
location_terminal,PH908_primary,PH908_family,Founder,Y51673,Милићевић,Никољдан,Херцеговина,Лакат/Невесиње,43.3725804,18.0686131
location_terminal,I1,non_I2,Founder,FGC22061,Борковић,Никољдан,Далмација,Лактац/Хрваце,43.8521199,16.5362621
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,Z17855,Винчић,Ђурђевдан,Далмација,Лактац/Хрваце,43.8521199,16.5362621
location_terminal,R1a,non_I2,Founder,BY99654,Радетић,Ђурђевдан,Босанска Крајина,Лакташи,44.9074664,17.3022887
location_terminal,J2,non_I2,Founder,J-Y155375,Стојчевић,Ђурђевдан,Босанска Крајина,Ламинци/Градишка,45.0792332,17.3226077
location_terminal,R1a,non_I2,Founder,L1029,Мамић,Михољдан,Босанска Крајина,Ламовита/Приједор,44.9440873,16.9278261
location_terminal,E,non_I2,Founder,E-Z1057,Комненовић,Јовањдан,Стара Херцеговина,Ластва/Кленак/Никшић,42.7008432,18.4753091
location_terminal,I1,non_I2,Founder,FGC22061,Свилокос,Ђурђевдан,Источни Срем,Лаћарак/Сремска Митровица,44.9975082,19.5649928
location_terminal,I1,non_I2,Founder,FGC22061,Лековић,Никољдан,Брда,Лековина/Бијело Поље,43.1541429,19.6058041
location_terminal,R1a,non_I2,Founder,FT288648,Мартић,Стевањдан,Североисточна Босна,Лендићи/Грачаница,44.7114636,18.2864085
location_terminal,PH908_primary,PH908_family,Founder,Y56203,Бошњак,Нема,Бачка,Ленија/Сомбор,45.7761548,19.1846712
location_terminal,E,non_I2,Founder,E-Z1057,Планиничић,Ђурђевдан,Расина,Лепенац/Брус,43.348585,21.084035
location_terminal,E,non_I2,Relic,E-COR1,Хуњади,Нема,Централна Хрватска,Лепоглава/Вараждин,46.2075318,16.0441744
location_terminal,PH908_map_nonprimary,PH908_family,Founder,Y4882,Милосављевић,Јовањдан,Рашка,Лескова/Бело Брдо/Лепосавић,43.2235805,20.8226512
location_terminal,E,non_I2,Founder,E-Y142744,Митић,Аранђеловдан,Јабланица,Лесковац,42.9951304,21.9464271
location_terminal,E,non_I2,Founder,E-Y142744,Радовановић,Лазарева Субота,Шумадија,Лесковац/Кнић,43.8463619,20.7457892
location_terminal,E,non_I2,Founder,E-Z13591,Славковић,Петковдан,Рашка,Леча/Нови Пазар,43.073085,20.5577213
location_terminal,E,non_I2,Founder,E-BY165837,Премовић,Митровдан,Рашка,Лешак/Лепосавић,43.1671463,20.7425833
location_terminal,PH908_primary,PH908_family,Founder,FT190799,Ћипранић,Лучиндан,Стара Херцеговина,Ливеровићи/Никшић,42.7417709,19.073395
location_terminal,J2,non_I2,Relic,J-M205,Станковић,Никољдан,Шумадија,Липе/Смедерево,44.6409954,20.9992927
location_terminal,PH908_map_nonprimary,PH908_family,Founder,Y4882,Мартић,Томиндан,Шумадија,Липе/Смедерево,44.6409954,20.9992927
location_terminal,Y3120_shallow_nonPH908,nonPH908_I2,Relic,Y319762,Грковић,Ђурђевдан,Славонија,Липик,44.6675596,20.29876
location_terminal,E,non_I2,Founder,E-Z1057,Бјелогрлић,Стевањдан,Херцеговина,Липник/Гацко,43.1410785,18.6177569
location_terminal,G,non_I2,Founder,G-Y128480,Лојовић,Стевањдан,Херцеговина,Липник/Гацко,43.1410785,18.6177569
location_terminal,I1,non_I2,Founder,FGC22061,Васић,Ђурђевдан,Мачва,Липница/Лозница,44.5605556,19.28
location_terminal,J2,non_I2,Founder,J-Y22063,Стевановић,Никољдан,Рашка,Липова/Врњачка Бања,43.6162816,20.871667
location_terminal,I1,non_I2,Founder,Y155080,Петровић,Никољдан,Шумадија,Липовац/Горњи Милановац,44.052779,20.6337538
location_terminal,PH908_primary,PH908_family,Founder,FT190799,Зечевић,Лучиндан,Шумадија,Липовац/Топола,44.252915,20.6341266
location_terminal,E,non_I2,Founder,E-FGC11450,Стојановић,Јовањдан,Јабланица,Липовица/Власотинце,43.025175,22.104992
location_terminal,N,non_I2,Founder,N-FT182494,Шкарић,Никољдан,Лика,Липово Поље/Перушић,44.7508933,15.2164316
