target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,control_set,metric,n_perm,target_region_branch_p,target_region_size_branch_p,class_target_region_p,target_region_branch_ci_low,target_region_branch_ci_high,target_region_size_branch_ci_low,target_region_size_branch_ci_high,class_target_region_ci_low,class_target_region_ci_high
0.40625,0.17266187050359713,0.3568281938325991,0.3936842105263158,128,417,227,1425,52,72,81,561,0.23358812949640287,-0.03685601669371669,0.2704441461901196,surname_region_terminal,non_I2_excl_R1a,other_i2_social_xsurname,500,0.005988023952095809,0.007984031936127744,0.003992015968063872,0.018828444655010962,0.2371808591745315,0.026137423880163237,0.2346256952718025,0.06622184072530987,0.24760361363413314
0.40601503759398494,0.1752808988764045,0.35344827586206895,0.3972972972972973,133,445,232,1480,54,78,82,588,0.23073413871758044,-0.04384902143522834,0.2745831601528088,cluster,non_I2_excl_R1a,other_i2_social_xsurname,500,0.005988023952095809,0.00998003992015968,0.007984031936127744,0.03449506660879237,0.2484103078445718,0.04903023687670855,0.24116774453254092,0.07437525475153686,0.256189626985881
0.4015151515151515,0.18248175182481752,0.35424354243542433,0.3867655447803765,132,411,271,1753,53,75,96,678,0.21903339969033397,-0.03252200234495217,0.25155540203528615,location_terminal,all_non_I2,other_i2_social_xsurname,500,0.007984031936127744,0.011976047904191617,0.017964071856287425,-0.0011449761420786121,0.22004867968190872,0.021779506138941307,0.22538222962186394,0.08222853196095006,0.2419112711846505
0.4015151515151515,0.18248175182481752,0.35267857142857145,0.3969631236442516,132,411,224,1383,53,75,79,549,0.21903339969033397,-0.04428455221568017,0.26331795190601415,location_terminal,non_I2_excl_R1a,other_i2_social_xsurname,500,0.011976047904191617,0.003992015968063872,0.013972055888223553,0.040300698666012436,0.2336545501009406,0.03151616099013066,0.23292994458914557,0.08369833185844772,0.25321402622343864
0.16666666666666666,0.0681265206812652,0.15867158671586715,0.18254420992584142,132,411,271,1753,22,28,43,320,0.09854014598540145,-0.02387262320997427,0.12241276919537572,location_terminal,all_non_I2,other_i2_strict_xsurname_xlocation,500,0.03592814371257485,0.05189620758483034,0.06786427145708583,-0.025239025379259063,0.13033968347318786,-0.024012355896462834,0.135312976339487,0.004607853113518263,0.14084610520310026
0.16666666666666666,0.0681265206812652,0.15625,0.18872017353579176,132,411,224,1383,22,28,35,261,0.09854014598540145,-0.03247017353579176,0.1310103195211932,location_terminal,non_I2_excl_R1a,other_i2_strict_xsurname_xlocation,500,0.041916167664670656,0.04590818363273453,0.08383233532934131,-0.01775836797523822,0.14027915109400285,-0.014938345653777524,0.14125220310717118,-2.0226555933205992e-4,0.14693822948747184
0.16541353383458646,0.06741573033707865,0.16071428571428573,0.18459069020866772,133,445,280,1869,22,30,45,345,0.09799780349750781,-0.023876404494381998,0.1218742079918898,cluster,all_non_I2,other_i2_strict_xsurname_xlocation,500,0.0499001996007984,0.03992015968063872,0.059880239520958084,-0.022724648700402694,0.12979886514037903,-0.019962740418461883,0.12987243389372308,-1.6200965897890965e-4,0.13419363014277266
0.16541353383458646,0.06741573033707865,0.15948275862068967,0.1912162162162162,133,445,232,1480,22,30,37,283,0.09799780349750781,-0.03173345759552654,0.12973126109303434,cluster,non_I2_excl_R1a,other_i2_strict_xsurname_xlocation,500,0.06786427145708583,0.059880239520958084,0.07584830339321358,-0.013633765391677492,0.14579462466482235,-0.0165566320785891,0.15157496237924567,0.007239153715886517,0.15247845157282025
0.16666666666666666,0.072992700729927,0.16236162361623616,0.18311466058185966,132,411,271,1753,22,30,44,321,0.09367396593673966,-0.0207530369656235,0.11442700290236316,location_terminal,all_non_I2,other_i2_strict_xsurname,500,0.07584830339321358,0.06387225548902195,0.11976047904191617,-0.0327565581340144,0.13472884036019142,-0.026739409074047094,0.13211819300860905,-0.005272908487589295,0.1377953163218986
0.15625,0.06474820143884892,0.16363636363636364,0.18222222222222223,128,417,275,1800,20,27,45,328,0.09150179856115108,-0.018585858585858595,0.11008765714700967,surname_region_terminal,all_non_I2,other_i2_strict_xsurname_xlocation,500,0.07584830339321358,0.06986027944111776,0.06986027944111776,-0.03559698207343217,0.12766393873537532,-0.041714524970932344,0.12917312116216115,-0.00606446717625899,0.1271380111819635
