metric,metric_label,scenario,scenario_label,bias_level,n_sim,median_did,p05,p95,prob_positive
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.17500000000000002,5000,-0.07276522217318782,-0.13418791328999063,-0.015450047366553884,0.0162
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.2,5000,-0.1311185043162131,-0.1957857505774156,-0.06830613657891552,6e-4
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.225,5000,-0.18915925846798387,-0.2563087957028568,-0.12609853813369648,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.25,5000,-0.24785947950260004,-0.31570157104070595,-0.1788299375295614,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.275,5000,-0.3071623524952123,-0.37979308916826554,-0.2360147064981497,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.30000000000000004,5000,-0.36448822076031256,-0.4382277179716629,-0.29512109933243824,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.325,5000,-0.42297817436251206,-0.4976300198907035,-0.3499503689796278,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.35000000000000003,5000,-0.4816966850675699,-0.5566382553267901,-0.40670565098991424,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.375,5000,-0.5414119451967762,-0.6195100385554959,-0.46529946433632347,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.4,5000,-0.5967792383227448,-0.6760518856595695,-0.519540376195468,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.42500000000000004,5000,-0.6574563241669342,-0.7380221966803111,-0.5787523504067013,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.45,5000,-0.7142074301442556,-0.7946563180549353,-0.6381950743498933,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.47500000000000003,5000,-0.7737717916516123,-0.8526844842881001,-0.6928400136608821,0
own_family_social_xsurname_xlocation,Shared Slava or region,directed_adversarial_bias,Coordinated adverse bias,0.5,5000,-0.8330413089743148,-0.9102924574395391,-0.7519333740496067,0
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0,5000,0.3361571142382236,0.3361571142382236,0.3361571142382236,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.025,5000,0.31938934597408875,0.286717878790413,0.35162678250815516,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.05,5000,0.3021240053697576,0.2571722364325692,0.348371465115497,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.07500000000000001,5000,0.2860377154760789,0.23166565760340976,0.3393314095417938,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.1,5000,0.26837289238580597,0.20763533994065247,0.32953864165961577,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.125,5000,0.251586051964949,0.18497352165711345,0.31969206242114456,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.15000000000000002,5000,0.23474901799610573,0.16290809023753,0.3071453536540058,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.17500000000000002,5000,0.21846751459436872,0.14092072860977795,0.29742099662584787,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.2,5000,0.20223324078033858,0.12012326313460983,0.2819831954810435,1
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.225,5000,0.18259241893419903,0.10072200328220962,0.26956626371665005,0.9996
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.25,5000,0.16841472204192104,0.08601198823760414,0.25559128378647916,0.999
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.275,5000,0.1510233817879352,0.059304015144662485,0.24044789370364128,0.9972
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.30000000000000004,5000,0.13398159823267256,0.039262785456668496,0.22973968515525905,0.9892
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.325,5000,0.11629862538989647,0.021977925571550323,0.21774117119186887,0.9764
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.35000000000000003,5000,0.10059790735986207,0.002560628900022819,0.19790665136936567,0.955
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.375,5000,0.08528991761269905,-0.015525325776341655,0.18334411808346307,0.9202
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.4,5000,0.06607692179351143,-0.03247872762602523,0.16555432178536697,0.866
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.42500000000000004,5000,0.051152202643238054,-0.05189387714178251,0.15186700286371316,0.7892
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.45,5000,0.03357167455264104,-0.06940779434597326,0.1364188569627791,0.6982
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.47500000000000003,5000,0.016475001860870253,-0.08521890856880823,0.1192261000254039,0.5934
own_family_social_xsurname_xlocation,Shared Slava or region,random_registry_noise,Non-directional registry noise,0.5,5000,2.414421074984907e-4,-0.10216835863756542,0.10418459318297357,0.5016
