unit_type,phylo_group,broad_family,branch_class,n,other_i2_cloud_rate,other_i2_near30_rate,i2_ecology_share30_mean,nearest_relic_i2_rate,surname_ic_rate,elevation_median,tmrca_median
cluster,Y3120_deep_mid_nonPH908,nonPH908_I2,Relic,12,0.5833333333333334,0.6666666666666666,0.3011904761904762,0.3333333333333333,0.75,NA,NA
cluster,Y3120_shallow_nonPH908,nonPH908_I2,Relic,21,0.3333333333333333,0.7619047619047619,0.3244039408866995,0.23809523809523808,0.9047619047619048,NA,NA
location_terminal,E,non_I2,Founder,604,0.3543046357615894,0.8344370860927153,0.3972779663957662,0.3658940397350993,0.8294701986754967,NA,NA
location_terminal,E,non_I2,Relic,46,0.2391304347826087,0.7391304347826086,0.2974997138648034,0.32608695652173914,0.8478260869565217,NA,NA
location_terminal,G,non_I2,Founder,72,0.2777777777777778,0.9305555555555556,0.4811558689519709,0.4583333333333333,0.8194444444444444,NA,NA
location_terminal,G,non_I2,Relic,35,0.45714285714285713,0.7428571428571429,0.306678661669749,0.2571428571428571,0.8857142857142857,NA,NA
location_terminal,I1,non_I2,Founder,271,0.3837638376383764,0.8745387453874539,0.4428095805224288,0.41697416974169743,0.8597785977859779,NA,NA
location_terminal,I1,non_I2,Relic,28,0.32142857142857145,0.75,0.3503543083900227,0.35714285714285715,0.75,NA,NA
location_terminal,I2_unmapped_nonPH908,nonPH908_I2,Relic,10,0.5,0.8,0.35913715913715916,0.6,0.9,NA,NA
location_terminal,J2,non_I2,Founder,241,0.36099585062240663,0.8215767634854771,0.38798612161313556,0.4315352697095436,0.7883817427385892,NA,NA
location_terminal,J2,non_I2,Relic,51,0.19607843137254902,0.7058823529411765,0.24884099960330452,0.3137254901960784,0.6666666666666666,NA,NA
location_terminal,N,non_I2,Founder,79,0.379746835443038,0.810126582278481,0.40560794005316014,0.379746835443038,0.7974683544303798,NA,NA
location_terminal,N,non_I2,Relic,8,0.375,0.875,0.2376984126984127,0,0.625,NA,NA
location_terminal,PH908_map_nonprimary,PH908_family,Founder,21,0.47619047619047616,0.8571428571428571,0.3768315018315018,0.5238095238095238,0.7142857142857143,NA,NA
location_terminal,PH908_map_nonprimary,PH908_family,Relic,8,0.625,0.875,0.33254419191919193,0.5,0.875,NA,NA
location_terminal,PH908_primary,PH908_family,Founder,370,0.08648648648648649,0.5162162162162162,0.4433523054113958,0.46216216216216216,0.7567567567567568,NA,1600
location_terminal,PH908_primary,PH908_family,Relic,82,0.2804878048780488,0.6829268292682927,0.4261718092205897,0.5121951219512195,0.8658536585365854,NA,550
location_terminal,R1a,non_I2,Founder,370,0.3081081081081081,0.8297297297297297,0.3870314358689867,0.3621621621621622,0.8,NA,2100
location_terminal,R1a,non_I2,Relic,47,0.3191489361702128,0.7872340425531915,0.33765117377649345,0.3617021276595745,0.7446808510638298,NA,1900
location_terminal,R1b,non_I2,Founder,116,0.3448275862068966,0.8189655172413793,0.3732546419741927,0.3017241379310345,0.8017241379310345,NA,NA
location_terminal,R1b,non_I2,Relic,56,0.3392857142857143,0.7857142857142857,0.2990200143080858,0.26785714285714285,0.8035714285714286,NA,NA
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,20,0.25,0.8,0.31246644319649414,0.2,0.9,NA,NA
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Relic,11,0.5454545454545454,0.6363636363636364,0.29523809523809524,0.18181818181818182,0.7272727272727273,NA,NA
location_terminal,Y3120_shallow_nonPH908,nonPH908_I2,Relic,21,0.3333333333333333,0.7619047619047619,0.33100861095426315,0.23809523809523808,0.9047619047619048,NA,NA
surname_region_terminal,E,non_I2,Founder,626,0.3498402555910543,0.8354632587859425,0.39353520389003976,0.35782747603833864,0.8386581469648562,NA,NA
surname_region_terminal,E,non_I2,Relic,45,0.26666666666666666,0.7333333333333333,0.29694337315855646,0.28888888888888886,0.8444444444444444,NA,NA
surname_region_terminal,G,non_I2,Founder,70,0.2857142857142857,0.9428571428571428,0.45593760335900296,0.44285714285714284,0.8142857142857143,NA,NA
surname_region_terminal,G,non_I2,Relic,35,0.45714285714285713,0.7428571428571429,0.3108746620778706,0.2571428571428571,0.8857142857142857,NA,NA
surname_region_terminal,I1,non_I2,Founder,276,0.38768115942028986,0.8695652173913043,0.41921489835411896,0.38405797101449274,0.8659420289855072,NA,NA
surname_region_terminal,I1,non_I2,Relic,31,0.2903225806451613,0.7741935483870968,0.33597069000294805,0.2903225806451613,0.7741935483870968,NA,NA
surname_region_terminal,I2_unmapped_nonPH908,nonPH908_I2,Relic,10,0.5,0.8,0.35149644594089036,0.6,0.9,NA,NA
surname_region_terminal,J2,non_I2,Founder,249,0.3333333333333333,0.8273092369477911,0.37699215111789,0.39759036144578314,0.7991967871485943,NA,NA
surname_region_terminal,J2,non_I2,Relic,49,0.20408163265306123,0.7142857142857143,0.2523641245418467,0.30612244897959184,0.6938775510204082,NA,NA
surname_region_terminal,N,non_I2,Founder,86,0.38372093023255816,0.8255813953488372,0.3995821619245989,0.38372093023255816,0.813953488372093,NA,NA
surname_region_terminal,N,non_I2,Relic,8,0.375,0.875,0.22974480021893814,0,0.625,NA,NA
surname_region_terminal,PH908_map_nonprimary,PH908_family,Founder,20,0.5,0.85,0.36993894993894993,0.55,0.7,NA,NA
surname_region_terminal,PH908_map_nonprimary,PH908_family,Relic,8,0.625,0.875,0.32939629814629817,0.5,0.875,NA,NA
surname_region_terminal,PH908_primary,PH908_family,Founder,376,0.08244680851063829,0.5159574468085106,0.42716803346810955,0.45478723404255317,0.7526595744680851,NA,1600
surname_region_terminal,PH908_primary,PH908_family,Relic,77,0.2727272727272727,0.6883116883116883,0.42371540983274075,0.4935064935064935,0.8571428571428571,NA,550
surname_region_terminal,R1a,non_I2,Founder,375,0.304,0.832,0.3758031673511155,0.3466666666666667,0.8,NA,2100
surname_region_terminal,R1a,non_I2,Relic,48,0.3125,0.7916666666666666,0.33630323229822606,0.3541666666666667,0.75,NA,1900
surname_region_terminal,R1b,non_I2,Founder,118,0.3644067796610169,0.8135593220338984,0.3521090948722528,0.2796610169491525,0.8050847457627118,NA,NA
surname_region_terminal,R1b,non_I2,Relic,59,0.3389830508474576,0.7966101694915254,0.2787618267515084,0.2542372881355932,0.8135593220338984,NA,NA
surname_region_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,21,0.23809523809523808,0.8095238095238095,0.30780075187969924,0.19047619047619047,0.9047619047619048,NA,NA
surname_region_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Relic,12,0.5833333333333334,0.6666666666666666,0.29603174603174603,0.3333333333333333,0.75,NA,NA
surname_region_terminal,Y3120_shallow_nonPH908,nonPH908_I2,Relic,21,0.3333333333333333,0.7619047619047619,0.3205745341614907,0.23809523809523808,0.9047619047619048,NA,NA
