target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
0.38345864661654133,0.2449438202247191,0.425,0.4146602461209203,133,445,280,1869,51,109,119,775,0.13851482639182222,0.010339753879079705,0.12817507251274252,cluster,I2_all,all_non_I2,geography_plus_ovic_evic,binary
0.3308270676691729,0.0898876404494382,0.2571428571428571,0.28731942215088285,133,445,280,1869,44,40,72,537,0.24093942721973471,-0.030176565008025735,0.27111599222776045,cluster,I2_all,all_non_I2,cloud_plus_suffix_ic,binary
0.10526315789473684,0.04719101123595506,0.09642857142857143,0.12092027822364901,133,445,280,1869,14,21,27,226,0.05807214665878178,-0.024491706795077575,0.08256385345385936,cluster,I2_all,all_non_I2,cloud_plus_non_ovic_ic,binary
0.3308270676691729,0.0898876404494382,0.2571428571428571,0.28731942215088285,133,445,280,1869,44,40,72,537,0.24093942721973471,-0.030176565008025735,0.27111599222776045,cluster,I2_all,all_non_I2,geo_cloud_suffix_triad,binary
0,0,0,0,133,445,280,1869,0,0,0,0,0,0,0,cluster,I2_all,all_non_I2,elevation_ge_700,binary
0,0,0,0,133,445,280,1869,0,0,0,0,0,0,0,cluster,I2_all,all_non_I2,elevation_ge_900,binary
0,0,0,0,133,445,280,1869,0,0,0,0,0,0,0,cluster,I2_all,all_non_I2,elevation_resid_ge_100,binary
0,0,0,0,133,445,280,1869,0,0,0,0,0,0,0,cluster,I2_all,all_non_I2,mountain_i2_near30,binary
0,0,0,0,133,445,280,1869,0,0,0,0,0,0,0,cluster,I2_all,all_non_I2,mountain_cloud_i2,binary
0.37593984962406013,0.9056179775280899,0.16785714285714284,0.2081326912787587,133,445,280,1869,50,403,47,389,-0.5296781279040298,-0.04027554842161585,-0.48940257948241395,cluster,I2_all,all_non_I2,old_age_known,binary
0.022556390977443608,0.5797752808988764,0.10714285714285714,0.12145532370251472,133,445,280,1869,3,258,30,227,-0.5572188899214328,-0.01431246655965758,-0.5429064233617752,cluster,I2_all,all_non_I2,age_ge_1500,binary
